emp_id,emp_name,manager_id,role,department,salary,hire_date,city
165,Emp_165,14,Executive,Marketing,87821,2020-05-23,Delhi
166,Emp_166,20,Analyst,HR,58698,2019-01-29,Jaipur
167,Emp_167,18,Analyst,Finance,67438,2020-05-11,Mumbai
168,Emp_168,13,Executive,Sales,88464,2020-10-16,Delhi
169,Emp_169,16,Analyst,Sales,53268,2020-04-25,Hyderabad
170,Emp_170,17,Analyst,Engineering,83415,2020-02-23,Lucknow
171,Emp_171,11,Specialist,Support,72755,2021-06-04,Pune
172,Emp_172,12,Analyst,Finance,35425,2021-10-02,Chennai
173,Emp_173,20,Analyst,Marketing,36245,2019-01-26,Kolkata
174,Emp_174,17,Executive,Support,80271,2020-10-29,Pune
175,Emp_175,17,Associate,Engineering,93540,2020-09-16,Jaipur
176,Emp_176,8,Associate,Marketing,37730,2021-09-01,Jaipur
177,Emp_177,8,Associate,HR,47267,2021-01-18,Pune
178,Emp_178,14,Specialist,Operations,46776,2022-03-26,Chennai
179,Emp_179,19,Specialist,Engineering,85210,2021-05-26,Delhi
180,Emp_180,16,Executive,Support,68203,2021-08-06,Chennai
181,Emp_181,12,Engineer,Finance,38964,2021-01-22,Pune
182,Emp_182,14,Analyst,Support,79331,2019-10-06,Kolkata
183,Emp_183,8,Analyst,Operations,78541,2019-06-19,Kolkata
184,Emp_184,13,Executive,Support,36316,2019-05-11,Mumbai
185,Emp_185,11,Analyst,Support,43891,2022-07-26,Ahmedabad
186,Emp_186,17,Engineer,Support,49092,2023-09-08,Hyderabad
187,Emp_187,18,Engineer,Support,94277,2023-11-26,Hyderabad
188,Emp_188,20,Specialist,HR,57116,2023-03-31,Kolkata
189,Emp_189,19,Associate,Finance,80652,2022-10-15,Kolkata
190,Emp_190,9,Specialist,Engineering,50490,2021-06-19,Lucknow
191,Emp_191,15,Associate,HR,35517,2021-12-11,Bengaluru
192,Emp_192,19,Executive,Sales,68153,2020-01-13,Jaipur
193,Emp_193,20,Associate,Finance,83405,2019-06-04,Delhi
194,Emp_194,17,Analyst,Operations,86302,2023-05-10,Chennai
195,Emp_195,16,Associate,HR,87497,2023-08-23,Pune
196,Emp_196,13,Executive,Support,47796,2023-04-05,Ahmedabad
197,Emp_197,18,Specialist,Marketing,87850,2020-08-13,Pune
198,Emp_198,7,Analyst,Operations,56475,2021-02-24,Delhi
199,Emp_199,8,Analyst,Engineering,70497,2023-12-01,Chennai
200,Emp_200,18,Executive,Support,61728,2023-08-30,Hyderabad
